109.5, -22.6555
110, -23.1404
110.5, -23.6181
111, -24.0887
111.5, -24.5519
112, -25.0077
112.5, -25.4558
113, -25.8962
113.5, -26.3287
114, -26.7532
114.5, -27.1695
115, -27.5776
115.5, -27.9773
116, -28.3684
116.5, -28.7509
117, -29.1246
117.5, -29.4895
118, -29.8454
118.5, -30.1921
119, -30.5297
119.5, -30.858
120, -31.1769
120.5, -31.4863
121, -31.7861
121.5, -32.0762
122, -32.3566
122.5, -32.6271
123, -32.8876
123.5, -33.1382
124, -33.3786
124.5, -33.6089
125, -33.8289
125.5, -34.0387
126, -34.238
126.5, -34.427
127, -34.6054
127.5, -34.7733
128, -34.9306
128.5, -35.0773
129, -35.2133
129.5, -35.3386
130, -35.4531
130.5, -35.5568
131, -35.6497
131.5, -35.7317
132, -35.8028
132.5, -35.863
133, -35.9123
133.5, -35.9507
134, -35.9781
134.5, -35.9945
135, -36
135.5, -35.9945
136, -35.9781
136.5, -35.9507
137, -35.9123
137.5, -35.863
138, -35.8028
138.5, -35.7317
139, -35.6497
139.5, -35.5568
140, -35.4531
140.5, -35.3386
141, -35.2133
141.5, -35.0773
142, -34.9306
142.5, -34.7733
143, -34.6054
143.5, -34.427
144, -34.238
144.5, -34.0387
145, -33.8289
145.5, -33.6089
146, -33.3786
146.5, -33.1382
147, -32.8876
147.5, -32.6271
148, -32.3566
148.5, -32.0762
149, -31.7861
149.5, -31.4863
150, -31.1769
150.5, -30.858
151, -30.5297
151.5, -30.1921
152, -29.8454
152.5, -29.4895
153, -29.1246
153.5, -28.7509
154, -28.3684
154.5, -27.9773
155, -27.5776
155.5, -27.1695
156, -26.7532
156.5, -26.3287
157, -25.8962
157.5, -25.4558
158, -25.0077
158.5, -24.5519
159, -24.0887
159.5, -23.6181
160, -23.1404
160.5, -22.6555
161, -22.1638
161.5, -21.6653
162, -21.1603
162.5, -20.6488
163, -20.1309
163.5, -19.607
164, -19.0771
164.5, -18.5414
165, -18
165.5, -17.4531
166, -16.901
166.5, -16.3437
167, -15.7814
167.5, -15.2143
168, -14.6425
168.5, -14.0663
169, -13.4858
169.5, -12.9012
170, -12.3127
170.5, -11.7205
171, -11.1246
171.5, -10.5254
172, -9.92294
172.5, -9.31749
173, -8.70919
173.5, -8.09824
174, -7.48482
174.5, -6.86912
175, -6.25133
175.5, -5.63164
176, -5.01023
176.5, -4.3873
177, -3.76302
177.5, -3.13761
178, -2.51123
178.5, -1.88409
179, -1.25638
179.5, -0.628287
180, -8.81746e-15
